65-006-2-40-10-19-1 04-000-002000
65-002-2-37-13-13-1 04-000-001000
65-038-2-41-10-08-4 04-000-001000
65-034-2-39-12-21-1 01-000-001000
65-018-2-39-11-14-4 04-000-001000
65-030-2-42-13-02-4 03-000-001000
65-036-2-40-11-31-4 04-000-002000
65-040-2-39-10-26-5 05-001-003000
65-038-2-41-10-35-2 03-000-001000
65-282-2-38-13-36-5 15-160-512500
65-282-2-38-12-32-5 05-002-004000
65-028-2-38-11-28-1 02-000-001000
65-042-2-40-12-32-3 03-000-002000
65-282-2-38-13-35-5 15-624-521000
65-010-2-37-10-21-4 04-000-001000
65-106-2-37-10-25-5 15-696-698000
65-016-2-41-12-07-5 15-626-503510
65-010-2-38-10-06-4 03-000-001000
65-030-2-42-13-11-5 15-804-510500
65-014-2-40-13-30-1 01-000-001000
65-026-2-37-11-15-5 15-534-504000
65-012-2-41-12-22-2 01-000-001000
65-281-2-39-12-32-5 15-080-009020
65-040-2-39-10-14-4 01-000-002000
65-010-2-38-10-04-5 05-008-001000
65-022-2-42-10-03-2 02-000-001000
65-014-2-40-13-25-5 16-958-503000
65-030-2-42-12-05-3 03-000-004000
65-042-2-39-12-03-3 03-000-001000
65-026-2-37-11-05-1 04-000-001000
65-020-2-39-13-18-2 03-000-002000
65-024-2-41-11-31-3 01-000-001000
65-022-2-42-10-35-2 02-000-001000
65-016-2-41-13-16-2 04-000-002000
65-032-2-37-12-10-3 01-000-001000
65-020-2-39-13-32-2 02-000-012000
65-016-2-41-13-16-2 01-000-006000
65-028-2-38-11-19-1 04-000-003000
65-010-2-37-10-04-5 05-001-001000
65-010-2-37-10-22-4 04-000-001000
65-151-2-42-12-24-5 15-532-016000
65-026-2-37-11-23-5 15-808-507000
65-282-2-37-12-05-5 05-002-004000
65-022-2-42-11-35-4 04-000-001000
65-006-2-40-10-36-1 01-000-001000
65-006-2-40-10-02-5 15-208-603500
65-018-2-39-11-36-5 15-314-510500
65-008-2-38-12-18-2 04-000-001000
65-022-2-42-11-02-3 02-000-002000
65-010-2-38-10-35-3 04-000-004000
65-010-2-38-10-16-5 05-003-002000
65-030-2-42-12-17-5 05-004-002000
65-282-2-38-13-36-5 15-586-604500
65-281-2-39-12-30-5 15-366-518500
65-282-2-38-13-36-5 15-586-615000
65-004-2-38-13-22-1 02-000-002000
65-282-2-38-13-25-5 15-530-553000
65-022-2-42-11-10-2 03-000-001000
